doc_id,file_path,title,source_url,retrieved_at,document_version,license_or_permission
tiktok-buyer-quy-dinh-doi-y-tra-hang,data\doi-tra-bao-hanh\tiktok-buyer-quy-dinh-doi-y-tra-hang.md,Quy dinh tra hang do doi y khong do loi san pham,https://seller-vn.tiktok.com/university/essay?knowledge_id=6988871880738576,2026-09-20,not-stated,public-source
tiktok-chinh-sach-huy-tra-hoan-tien,data\doi-tra-bao-hanh\tiktok-chinh-sach-huy-tra-hoan-tien.md,Chinh sach huy don hang tra hang va hoan tien tren TikTok Shop,https://seller-vn.tiktok.com/university/essay?knowledge_id=6837773789234946,2026-09-20,not-stated,public-source
tiktok-dieu-khoan-dich-vu-nguoi-ban,data\doi-tra-bao-hanh\tiktok-dieu-khoan-dich-vu-nguoi-ban.md,Dieu khoan dich vu danh cho Nguoi ban tren TikTok Shop,https://seller-vn.tiktok.com/university/essay?knowledge_id=2581017870255874&lang=vi-VN,2026-09-20,not-stated,public-source
tiktok-seller-huong-dan-dich-vu-khach-hang,data\doi-tra-bao-hanh\tiktok-seller-huong-dan-dich-vu-khach-hang.md,Huong dan dich vu khach hang va xu ly khieu nai bao hanh,https://seller-vn.tiktok.com/university/essay?knowledge_id=6837793230014209,2026-09-20,not-stated,public-source
tiktok-seller-quy-dinh-dang-ban-san-pham,data\doi-tra-bao-hanh\tiktok-seller-quy-dinh-dang-ban-san-pham.md,Quy dinh dang ban va nghiem cam dieu khoan can tro tra hang,https://seller-vn.tiktok.com/university/essay?knowledge_id=6837791128454914,2026-09-20,not-stated,public-source
tiktok-seller-thoi-han-xet-duyet-tra-hang,data\doi-tra-bao-hanh\tiktok-seller-thoi-han-xet-duyet-tra-hang.md,Quy trinh va thoi gian phan hoi yeu cau tra hang cho Nguoi ban,https://seller-vn.tiktok.com/university/essay?knowledge_id=1766935302801169,2026-09-20,not-stated,public-source
tiktok-tieu-chuan-giao-tiep-khach-hang,data\doi-tra-bao-hanh\tiktok-tieu-chuan-giao-tiep-khach-hang.md,Tieu chuan giao tiep va cam hanh vi gay kho de hoan tien,https://seller-vn.tiktok.com/university/essay?knowledge_id=8692722068424464,2026-09-20,not-stated,public-source
